target,seed,test_rmse,test_cliff_rmse
CHEMBL1862_Ki,0,0.706372082233429,0.6890494227409363
CHEMBL1871_Ki,0,0.7348261475563049,1.122145414352417
CHEMBL2034_Ki,0,0.6654385328292847,0.7924360036849976
CHEMBL2047_EC50,0,0.575056254863739,0.6081016063690186
CHEMBL204_Ki,0,0.7050992846488953,0.8715565800666809
CHEMBL2147_Ki,0,0.5548150539398193,0.6124219298362732
CHEMBL214_Ki,0,0.6138496994972229,0.7195091247558594
CHEMBL218_EC50,0,0.657694935798645,0.6978283524513245
CHEMBL219_Ki,0,0.6592245697975159,0.7069046497344971
CHEMBL228_Ki,0,0.6330236196517944,0.659089207649231
CHEMBL231_Ki,0,0.6814075708389282,0.91448575258255
CHEMBL233_Ki,0,0.7206265330314636,0.7821465730667114
CHEMBL234_Ki,0,0.6258408427238464,0.6227778792381287
CHEMBL235_EC50,0,0.6539077162742615,0.7949510216712952
CHEMBL236_Ki,0,0.6968241333961487,0.8142610192298889
CHEMBL237_EC50,0,0.7311446666717529,0.8061769604682922
CHEMBL237_Ki,0,0.7136258482933044,0.8017155528068542
CHEMBL238_Ki,0,0.5589975118637085,0.7099848389625549
CHEMBL239_EC50,0,0.6574860215187073,0.7890685796737671
CHEMBL244_Ki,0,0.6545202136039734,0.7392362356185913
CHEMBL262_Ki,0,0.6431402564048767,0.6256314516067505
CHEMBL264_Ki,0,0.5700985789299011,0.6337966322898865
CHEMBL2835_Ki,0,0.3861653208732605,0.7129808664321899
CHEMBL287_Ki,0,0.6378202438354492,0.6551540493965149
CHEMBL2971_Ki,0,0.5966503024101257,0.6782236695289612
CHEMBL3979_EC50,0,0.5986559987068176,0.6349285840988159
CHEMBL4005_Ki,0,0.6442604064941406,0.8006625771522522
CHEMBL4203_Ki,0,0.8301573395729065,0.9658571481704712
CHEMBL4616_EC50,0,0.625670313835144,0.7157274484634399
CHEMBL4792_Ki,0,0.5662832856178284,0.6021741628646851
CHEMBL1862_Ki,1,0.7376695275306702,0.7040243744850159
CHEMBL1871_Ki,1,0.7261374592781067,1.0939804315567017
CHEMBL2034_Ki,1,0.7085624933242798,0.8229984641075134
CHEMBL2047_EC50,1,0.5790027379989624,0.642020046710968
CHEMBL204_Ki,1,0.7025100588798523,0.8622279167175293
CHEMBL2147_Ki,1,0.5667124390602112,0.6200169920921326
CHEMBL214_Ki,1,0.608745813369751,0.7339061498641968
CHEMBL218_EC50,1,0.6522889137268066,0.7157163619995117
CHEMBL219_Ki,1,0.6726140975952148,0.7009843587875366
CHEMBL228_Ki,1,0.6400243639945984,0.6627287268638611
CHEMBL231_Ki,1,0.696386456489563,0.9174084663391112
CHEMBL233_Ki,1,0.7207152843475342,0.786647617816925
CHEMBL234_Ki,1,0.6100699305534363,0.6365227103233337
CHEMBL235_EC50,1,0.6371951103210449,0.761928915977478
CHEMBL236_Ki,1,0.6865025162696838,0.7866994142532349
CHEMBL237_EC50,1,0.7139886021614075,0.7561086416244507
CHEMBL237_Ki,1,0.7326918244361877,0.8204026818275452
CHEMBL238_Ki,1,0.576623260974884,0.7037763595581055
CHEMBL239_EC50,1,0.6478189826011658,0.804326593875885
CHEMBL244_Ki,1,0.6458120942115784,0.7492092251777649
CHEMBL262_Ki,1,0.6198307275772095,0.564010739326477
CHEMBL264_Ki,1,0.5801439881324768,0.6545031070709229
CHEMBL2835_Ki,1,0.40754234790802,0.7729337811470032
CHEMBL287_Ki,1,0.6512307524681091,0.6835840940475464
CHEMBL2971_Ki,1,0.6015305519104004,0.7690865397453308
CHEMBL3979_EC50,1,0.6100077629089355,0.6605432033538818
CHEMBL4005_Ki,1,0.644240140914917,0.7914602756500244
CHEMBL4203_Ki,1,0.8358304500579834,1.0410025119781494
CHEMBL4616_EC50,1,0.6608403325080872,0.7532891035079956
CHEMBL4792_Ki,1,0.5719531178474426,0.6156516671180725
CHEMBL1862_Ki,2,0.7031627297401428,0.6637897491455078
CHEMBL1871_Ki,2,0.7068849205970764,1.062981367111206
CHEMBL2034_Ki,2,0.6908706426620483,0.8304890990257263
CHEMBL2047_EC50,2,0.5696648955345154,0.5622277855873108
CHEMBL204_Ki,2,0.7125142216682434,0.8691297173500061
CHEMBL2147_Ki,2,0.5563539266586304,0.610360860824585
CHEMBL214_Ki,2,0.6112502813339233,0.7271079421043396
CHEMBL218_EC50,2,0.661890983581543,0.7156339287757874
CHEMBL219_Ki,2,0.6657260656356812,0.7201418876647949
CHEMBL228_Ki,2,0.648613452911377,0.6683240532875061
CHEMBL231_Ki,2,0.6955541372299194,0.9359910488128662
CHEMBL233_Ki,2,0.703408420085907,0.7706853151321411
CHEMBL234_Ki,2,0.6119108200073242,0.6136992573738098
CHEMBL235_EC50,2,0.6444549560546875,0.7616103291511536
CHEMBL236_Ki,2,0.7056100368499756,0.7917459607124329
CHEMBL237_EC50,2,0.7449657917022705,0.8147013783454895
CHEMBL237_Ki,2,0.7156599164009094,0.8067488074302673
CHEMBL238_Ki,2,0.5771124362945557,0.6507533192634583
CHEMBL239_EC50,2,0.6520311832427979,0.8036579489707947
CHEMBL244_Ki,2,0.6505072116851807,0.7483185529708862
CHEMBL262_Ki,2,0.646216630935669,0.5743530988693237
CHEMBL264_Ki,2,0.5694226622581482,0.6335350871086121
CHEMBL2835_Ki,2,0.4073503911495209,0.7688998579978943
CHEMBL287_Ki,2,0.6696788668632507,0.7229969501495361
CHEMBL2971_Ki,2,0.6001987457275391,0.7277253866195679
CHEMBL3979_EC50,2,0.6089007258415222,0.6393599510192871
